,Date,Unix,Ticker,DE Ratio,Price,SP500
161,2007-12-15 01:09:10,1197698950.0,aee,1.02,53.77,1486.589966
162,2008-01-23 19:17:07,1201133827.0,aee,1.02,46.34,1338.599976
163,2008-12-08 10:59:42,1228751982.0,aeo,0.054,9.73,909.700012
164,2009-01-12 14:36:10,1231788970.0,aeo,0.054,10.13,870.26001
165,2004-08-03 23:58:46,1091591926.0,aep,1.754,31.64,1099.689941
166,2004-10-10 13:54:05,1097430845.0,aep,1.739,32.38,1130.650024
167,2005-04-04 22:37:45,1112668665.0,aep,1.435,33.96,1176.119995
168,2007-03-07 02:53:36,1173254016.0,aep,1.342,45.33,1391.969971
169,2007-04-10 20:12:53,1176250373.0,aep,1.457,49.34,1448.390015
170,2008-01-23 20:30:47,1201138247.0,aep,1.55,43.82,1338.599976
171,2003-10-03 17:23:47,1065216227.0,aes,101.18,7.96,1029.849976
172,2003-12-15 21:31:38,1071541898.0,aes,29.748,8.39,1068.040039
173,2004-08-04 00:04:30,1091592270.0,aes,15.619,9.66,1098.630005
174,2004-10-26 04:29:14,1098779354.0,aes,15.619,11.05,1111.089966
175,2004-12-05 09:19:07,1102256347.0,aes,12.944,12.42,1190.329956
176,2005-02-18 08:12:43,1108732363.0,aes,10.698,16.48,1201.589966
177,2007-02-19 02:26:15,1171869975.0,aes,6.513,22.3,1455.540039
178,2007-04-11 05:09:29,1176282569.0,aes,6.513,22.42,1438.869995
179,2008-01-23 21:05:49,1201140349.0,aes,5.378,17.9,1338.599976
180,2008-04-23 21:50:03,1209001803.0,aes,5.687,17.63,1379.930054
181,2004-02-15 08:22:54,1076851374.0,aet,0.211,77.5,1152.109985
182,2004-08-03 20:44:23,1091580263.0,aet,0.193,86.6,1099.689941
183,2004-11-30 04:45:36,1101807936.0,aet,0.178,118.21,1173.819946
184,2005-02-04 06:20:07,1107516007.0,aet,0.178,130.85,1203.030029
185,2005-04-08 02:12:37,1112940757.0,aet,0.177,76.32,1181.199951
186,2005-09-23 17:26:49,1127510809.0,aet,0.17,82.71,1215.290039
187,2006-01-11 03:31:09,1136968269.0,aet,0.172,92.65,1294.180054
188,2007-01-25 23:46:33,1169786793.0,aet,0.253,41.1,1423.900024
189,2007-02-20 08:05:18,1171976718.0,aet,0.253,45.61,1459.680054
190,2007-04-06 18:34:03,1175898843.0,aet,0.272,45.0,1437.77002
191,2008-01-23 22:12:23,1201144343.0,aet,0.31,54.11,1338.599976
192,2008-02-22 22:13:00,1203736380.0,aet,0.31,50.13,1353.109985
193,2008-11-01 10:58:06,1225551486.0,aet,0.389,24.87,930.090027
194,2003-10-03 17:29:50,1065216590.0,afl,0.173,33.43,1029.849976
195,2003-12-07 12:26:30,1070817990.0,afl,0.206,35.47,1069.719971
196,2004-06-27 21:50:24,1088387424.0,afl,0.203,40.4,1140.650024
197,2004-08-29 05:10:22,1093770622.0,afl,0.226,39.99,1105.089966
198,2005-01-25 00:35:34,1106631334.0,afl,0.189,39.58,1168.410034
199,2005-03-17 18:20:48,1111101648.0,afl,0.189,38.22,1190.209961
200,2005-04-06 19:09:19,1112828959.0,afl,0.189,37.0,1184.069946
201,2005-08-28 22:41:53,1125283313.0,afl,0.162,43.93,1212.369995
202,2006-05-28 02:32:55,1148797975.0,afl,0.185,46.78,1272.880005
203,2007-02-20 18:32:53,1172014373.0,afl,0.171,48.45,1459.680054
204,2007-04-08 10:16:28,1176041788.0,afl,0.171,47.92,1443.76001
205,2008-01-23 12:52:38,1201110758.0,afl,0.172,61.31,1338.599976
206,2009-01-29 12:02:15,1233248535.0,afl,0.241,25.06,845.140015
207,2003-11-17 22:46:03,1069127163.0,agn,0.739,76.65,1043.630005
208,2004-06-19 14:49:29,1087670969.0,agn,0.695,91.42,1133.560059
209,2004-08-10 02:33:38,1092119618.0,agn,0.637,69.32,1079.040039
210,2004-11-02 14:09:49,1099422589.0,agn,0.637,72.5,1130.560059
211,2005-03-10 01:40:57,1110436857.0,agn,0.522,75.47,1209.25
212,2005-04-04 23:20:33,1112671233.0,agn,0.522,69.07,1176.119995
213,2005-08-29 12:42:47,1125333767.0,agn,0.51,92.83,1212.280029
214,2006-06-21 09:29:01,1150896541.0,agn,0.47,104.14,1252.199951
215,2007-02-20 16:30:00,1172007000.0,agn,0.544,113.32,1459.680054
216,2007-04-06 22:28:10,1175912890.0,agn,0.544,113.52,1437.77002
217,2008-01-23 23:06:53,1201147613.0,agn,0.449,65.01,1338.599976
218,2008-02-16 18:44:49,1203205489.0,agn,0.436,63.89,1367.209961
219,2008-05-17 08:24:31,1211027071.0,agn,0.429,54.11,1408.660034
220,2004-02-15 09:40:39,1076856039.0,aig,1.15,74.72,1152.109985
221,2004-08-18 11:50:54,1092844254.0,aig,1.173,68.32,1095.170044
